OrderBy,player1,player1,player1_score,player2_score,Event,winner
255,D3xus,Aelz,5,0,Season 3,D3xus
254,Ssylus,Ganondeurf,5,0,Season 3,Ssylus
253,LozKias,WorldBranstar,5,0,Season 3,LozKias
252,MonkeyKing,Fotten,5,0,Season 3,MonkeyKing
251,Spirit410,WorldBranstar,10,4,Season 3,Spirit410
250,Taz,Zollith,5,4,Season 3,Taz
249,Aby,Lyonide,5,4,Season 3,Aby
248,Horken,Momotehk,5,2,Season 3,Horken
247,Ganondeurf,Neon,5,3,Season 3,Ganondeurf
246,MonkeyKing,Valhanya,5,4,Season 3,MonkeyKing
245,Blade of Flame,Taokaka Meow,5,2,Season 3,Blade of Flame
244,Carriacou,Tadlos,5,0,Season 3,Carriacou
243,Domitto,Spirit410,5,1,Season 3,Domitto
242,Hazu,Lyonide,5,3,Season 3,Hazu
241,Afflatus Misery,Ol[d]cadan,5,3,Season 3,Afflatus Misery
240,Stray,TapiocaKing,5,0,Season 3,Stray
239,Darxy,Taokaka Meow,5,2,Season 3,Darxy
238,Zollith,Aby,5,4,Season 3,Zollith
237,Stray,Yaj-Ly,5,0,Season 3,Stray
236,Tadlos,Greywall,5,4,Season 3,Tadlos
235,Sams,Ganondeurf,10,6,Season 3,Sams
234,Valhanya,VileMuffin,5,4,Season 3,Valhanya
233,WorldBranstar,LozKias,5,2,Season 3,WorldBranstar
232,Carriacou,Horken,5,3,Season 3,Carriacou
231,LozKias,Zanaken,5,0,Season 3,LozKias
230,MonkeyKing,Algernon,5,3,Season 3,MonkeyKing
229,Taokaka Meow,Hazu,5,4,Season 3,Taokaka Meow
228,Stray,Vincent,5,3,Season 3,Stray
227,Greywall,TapiocaKing,5,1,Season 3,Greywall
226,WorldBranstar,Fotten,5,1,Season 3,WorldBranstar
225,Zephyrion,Yaj-Ly,5,2,Season 3,Zephyrion
224,Kusoge,Horken,5,2,Season 3,Kusoge
223,Ssylus,Baddy,5,1,Season 3,Ssylus
222,Ventras,Ceiwen,5,4,Season 3,Ventras
221,Afflatus Misery,Tadlos,5,1,Season 3,Afflatus Misery
220,Habaduba,Fotten,10,6,Season 3,Habaduba
219,Kellerak,Unicorn,10,0,Season 3,Kellerak
218,Taokaka Meow,Iona Rose,5,1,Season 3,Taokaka Meow
217,Raziel,Ganondeurf,5,1,Season 3,Raziel
216,WorldBranstar,Lyonide,5,2,Season 3,WorldBranstar
215,Zephyrion,Polosaty,5,1,Season 3,Zephyrion
214,Yaj-Ly,Greywall,5,3,Season 3,Yaj-Ly
213,Baddy,Myloes,5,1,Season 3,Baddy
212,LozKias,VileMuffin,5,1,Season 3,LozKias
211,Taokaka Meow,Sekirei,5,1,Season 3,Taokaka Meow
210,Drunky,Kusoge,5,3,Season 3,Drunky
209,Aelz,Rufus,10,6,Season 3,Aelz
208,Vincent,Momotehk,5,1,Season 3,Vincent
207,Petronixman,Miha,5,3,Season 3,Petronixman
206,Ganondeurf,Domitto,10,0,Season 3,Ganondeurf
205,Fotten,Lyonide,5,1,Season 3,Fotten
204,Hazu,Afflatus Misery,5,2,Season 3,Hazu
203,The Arpeggiator,Kellerak,5,4,Season 3,The Arpeggiator
202,Yin,DarthSeppius,10,3,Season 3,Yin
201,Darxy,Zollith,5,1,Season 3,Darxy
200,Stray,Taokaka Meow,5,4,Season 3,Stray
199,Rufus,Spirit410,5,1,Season 3,Rufus
198,MPhantasm,MonkeyKing,5,4,Season 3,MPhantasm
197,Vegasvat,Miha,5,1,Season 3,Vegasvat
196,Ol[d]cadan,Vincent,5,2,Season 3,Ol[d]cadan
195,Jazair,Lyonide,5,4,Season 3,Jazair
194,Fotten,LozKias,5,1,Season 3,Fotten
193,Yaj-Ly,Tadlos,5,3,Season 3,Yaj-Ly
192,D3xus,Ssylus,10,2,Season 3,D3xus
191,Unicorn,Momotehk,5,3,Season 3,Unicorn
190,WorldBranstar,Kusoge,5,0,Season 3,WorldBranstar
189,Zephyrion,Kellerak,5,3,Season 3,Zephyrion
188,D3xus,Aelz,10,6,Season 2,D3xus
